timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
86,776=4,070=0,050=0,000=0,000=0,000=-0,647=0,762
86,846=4,104=0,129=0,000=0,000=0,000=-0,662=0,749
86,916=4,088=0,101=0,000=0,000=0,000=-0,680=0,734
86,986=4,119=0,179=0,000=0,000=0,000=-0,698=0,716
87,056=4,120=0,194=0,000=0,000=0,000=-0,718=0,696
87,186=3,981=-0,105=0,000=0,000=0,000=-0,753=0,658
87,256=4,106=0,155=0,000=0,000=0,000=-0,771=0,636
87,326=4,077=0,107=0,000=0,000=0,000=-0,789=0,615
87,396=4,129=0,243=0,000=0,000=0,000=-0,806=0,592
87,466=4,219=0,423=0,000=0,000=0,000=-0,822=0,569
87,536=4,243=0,490=0,000=0,000=0,000=-0,838=0,546
87,606=4,176=0,331=0,000=0,000=0,000=-0,853=0,523
87,676=4,183=0,354=0,000=0,000=0,000=-0,883=0,469
87,816=4,282=0,546=0,000=0,000=0,000=-0,902=0,431
87,896=4,285=0,566=0,000=0,000=0,000=-0,915=0,404
87,956=4,301=0,606=0,000=0,000=0,000=-0,934=0,357
88,026=4,393=0,726=0,000=0,000=0,000=-0,933=0,360
88,076=4,393=0,729=0,000=0,000=0,000=-0,939=0,343
88,146=4,395=0,730=0,000=0,000=0,000=-0,948=0,319
88,216=4,399=0,735=0,000=0,000=0,000=-0,955=0,296
88,296=4,402=0,733=0,000=0,000=0,000=-0,960=0,280
88,366=4,411=0,740=0,000=0,000=0,000=-0,966=0,257
88,436=4,480=0,841=0,000=0,000=0,000=-0,965=0,262
88,496=4,473=0,809=0,000=0,000=0,000=-0,966=0,258
88,566=4,479=0,806=0,000=0,000=0,000=-0,974=0,227
88,636=4,486=0,806=0,000=0,000=0,000=-0,980=0,198
88,706=4,491=0,808=0,000=-0,000=0,000=0,985=-0,171
88,916=4,511=0,845=0,000=-0,000=0,000=0,996=-0,092
88,986=4,506=0,838=0,000=-0,000=0,000=0,997=-0,074
89,126=4,478=0,800=0,000=-0,000=0,000=1,000=-0,024
89,196=4,532=0,928=0,000=-0,000=0,000=1,000=-0,003
89,266=4,506=0,894=0,000=0,000=0,000=1,000=0,021
89,336=4,479=0,862=0,000=0,000=0,000=0,999=0,046
89,396=4,455=0,837=0,000=0,000=0,000=0,998=0,068
89,516=4,512=1,016=0,000=0,000=0,000=0,995=0,104
89,596=4,492=1,029=0,000=0,000=0,000=0,993=0,121
89,666=4,492=1,090=0,000=0,000=0,000=0,989=0,149
89,746=4,522=1,225=0,000=0,000=0,000=0,985=0,175
89,806=4,495=1,211=0,000=0,000=0,000=0,982=0,188
89,946=4,457=1,256=0,000=0,000=0,000=0,978=0,210
90,016=4,358=1,055=0,000=0,000=0,000=0,975=0,220
90,096=4,319=1,038=0,000=0,000=0,000=0,972=0,236
90,166=4,283=1,025=0,000=0,000=0,000=0,969=0,249
90,226=4,253=1,014=0,000=0,000=0,000=0,966=0,258
90,296=4,217=1,003=0,000=0,000=0,000=0,962=0,272
90,366=4,181=0,992=0,000=0,000=0,000=0,958=0,287
90,436=4,144=0,983=0,000=0,000=0,000=0,952=0,305
90,496=4,112=0,976=0,000=0,000=0,000=0,946=0,323
90,566=4,075=0,970=0,000=0,000=0,000=0,938=0,346
90,636=4,037=0,965=0,000=0,000=0,000=0,930=0,368
90,706=3,999=0,964=0,000=0,000=0,000=0,922=0,388
90,776=3,963=0,965=0,000=0,000=0,000=0,914=0,406
90,896=3,904=0,973=0,000=0,000=0,000=0,903=0,429
90,966=3,871=0,981=0,000=0,000=0,000=0,898=0,440
91,046=3,836=0,993=0,000=0,000=0,000=0,892=0,452
91,106=3,811=1,003=0,000=0,000=0,000=0,888=0,461
91,246=3,757=1,032=0,000=0,000=0,000=0,877=0,480
91,316=3,733=1,049=0,000=0,000=0,000=0,872=0,490
91,456=3,691=1,087=0,000=0,000=0,000=0,861=0,508
91,516=3,675=1,105=0,000=0,000=0,000=0,857=0,515
91,716=3,631=1,171=0,000=0,000=0,000=0,842=0,539
91,786=3,616=1,195=0,000=0,000=0,000=0,837=0,547
91,916=3,590=1,239=0,000=0,000=0,000=0,827=0,562
91,986=3,577=1,264=0,000=0,000=0,000=0,822=0,569
92,056=3,564=1,288=0,000=0,000=0,000=0,817=0,576
92,116=3,553=1,310=0,000=0,000=0,000=0,813=0,582
92,166=3,545=1,328=0,000=0,000=0,000=0,810=0,586
92,216=3,537=1,347=0,000=0,000=0,000=0,807=0,591
92,346=3,518=1,395=0,000=0,000=0,000=0,799=0,602
92,416=3,508=1,422=0,000=0,000=0,000=0,794=0,608
92,486=3,498=1,448=0,000=0,000=0,000=0,789=0,614
92,616=3,481=1,497=0,000=0,000=0,000=0,781=0,625
92,686=3,471=1,523=0,000=0,000=0,000=0,776=0,631
92,746=3,463=1,546=0,000=0,000=0,000=0,772=0,636
92,816=3,455=1,573=0,000=0,000=0,000=0,768=0,641
92,886=3,449=1,600=0,000=0,000=0,000=0,764=0,646
92,966=3,441=1,632=0,000=0,000=0,000=0,759=0,652
93,036=3,434=1,659=0,000=0,000=0,000=0,754=0,657
93,106=3,428=1,686=0,000=0,000=0,000=0,749=0,662
93,166=3,423=1,710=0,000=0,000=0,000=0,745=0,667
93,236=3,416=1,737=0,000=0,000=0,000=0,740=0,672
93,296=3,411=1,761=0,000=0,000=0,000=0,736=0,677
93,366=3,405=1,788=0,000=0,000=0,000=0,731=0,682
93,486=3,396=1,836=0,000=0,000=0,000=0,723=0,691
93,546=3,394=1,860=0,000=0,000=0,000=0,720=0,694
93,606=3,392=1,883=0,000=0,000=0,000=0,717=0,697
93,676=3,390=1,911=0,000=0,000=0,000=0,713=0,701
93,746=3,388=1,939=0,000=0,000=0,000=0,709=0,706
93,826=3,386=1,971=0,000=0,000=0,000=0,704=0,711
93,896=3,384=1,999=0,000=0,000=0,000=0,700=0,715
93,956=3,382=2,023=0,000=0,000=0,000=0,696=0,718
94,026=3,381=2,051=0,000=0,000=0,000=0,692=0,722
94,096=3,379=2,079=0,000=0,000=0,000=0,688=0,725
94,166=3,377=2,108=0,000=0,000=0,000=0,685=0,729
94,236=3,377=2,136=0,000=0,000=0,000=0,682=0,731
94,306=3,376=2,164=0,000=0,000=0,000=0,679=0,734
94,446=3,375=2,220=0,000=0,000=0,000=0,673=0,740
94,516=3,375=2,248=0,000=0,000=0,000=0,669=0,743
94,596=3,374=2,280=0,000=0,000=0,000=0,666=0,746
94,666=3,373=2,309=0,000=0,000=0,000=0,662=0,749
94,736=3,373=2,337=0,000=0,000=0,000=0,659=0,752
94,806=3,372=2,365=0,000=0,000=0,000=0,655=0,755
94,856=3,372=2,385=0,000=0,000=0,000=0,653=0,758
94,906=3,372=2,406=0,000=0,000=0,000=0,650=0,760
95,056=3,375=2,466=0,000=0,000=0,000=0,646=0,764
95,196=3,379=2,522=0,000=0,000=0,000=0,640=0,768
95,266=3,380=2,550=0,000=0,000=0,000=0,637=0,771
95,336=3,382=2,578=0,000=0,000=0,000=0,634=0,773
95,406=3,385=2,606=0,000=0,000=0,000=0,629=0,777
95,486=3,388=2,638=0,000=0,000=0,000=0,622=0,783
95,706=3,390=2,724=0,000=0,000=0,000=0,586=0,811
95,776=3,389=2,749=0,000=0,000=0,000=0,569=0,822
95,846=3,388=2,774=0,000=0,000=0,000=0,550=0,835
