timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
475,055=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
475,115=-2,801=0,600=0,000=0,000=0,000=-0,994=0,109
475,175=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
475,305=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
475,375=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
475,495=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
475,575=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
475,705=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
475,785=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
475,895=-2,801=0,601=0,000=0,000=0,000=-0,994=0,110
475,955=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
476,025=-2,802=0,601=0,000=0,000=0,000=-0,994=0,110
476,155=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
476,215=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
476,285=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
476,355=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
476,425=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
476,555=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
476,625=-2,802=0,597=0,000=0,000=0,000=-0,994=0,111
476,695=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
476,765=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
476,835=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
476,915=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
477,125=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
477,255=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
477,315=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
477,385=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
477,445=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
477,515=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
477,585=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
477,655=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
477,725=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
477,795=-2,802=0,599=0,000=0,000=0,000=-0,994=0,111
477,865=-2,801=0,599=0,000=0,000=0,000=-0,994=0,111
477,945=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
